암호화요양기호,점심시간_평일
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzIxIyQxIyQxIyQ3OSQyNjEyMjIjNjEjJDEjJDgjJDgz,12시30분~2시00분
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzIxIyQxIyQxIyQ4OSQzNjEwMDIjODEjJDEjJDIjJDgz,
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzMxIyQyIyQ3IyQwMCQ0NjE0ODEjNTEjJDEjJDIjJDgz,01시00분 ~ 02시00분
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzMxIyQyIyQ3IyQwMCQyNjEyMjIjNTEjJDEjJDYjJDgz,
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzQxIyQxIyQ3IyQxMyQzNjEyMjIjNjEjJDEjJDgjJDgz,1시 ~2시
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzUxIyQxIyQ1IyQ4MiQzNjEwMDIjODEjJDEjJDYjJDgz,12:30~2:00
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMzUxIzUxIyQxIyQ1IyQ5OSQyNjEyMjIjNjEjJDEjJDQjJDgz,오후1:00 ~ 2:00
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzExIyQxIyQzIyQ3MiQzNjEyMjIjODEjJDEjJDYjJDgz,13:00~14:00
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzExIyQxIyQzIyQxMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,12:30-14:00
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzIxIyQxIyQ1IyQ5OSQyNjEwMDIjNjEjJDEjJDQjJDgz,13시00분~14시00분
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzIxIyQxIyQxIyQwMyQ0NjEwMDIjODEjJDEjJDIjJDgz,13시00분 ~ 14:00분
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzIxIyQyIyQ5IyQwMCQ0NjE0ODEjNjEjJDEjJDgjJDgz,13:00~14:00
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzUxIyQxIyQ1IyQ3OSQ0NjE0ODEjNjEjJDEjJDgjJDgz,13시00분 ~ 14시00분
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzUxIyQxIyQ1IyQxMyQzNjEyMjIjNjEjJDEjJDQjJDgz,13시00분~14시00분
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzUxIyQxIyQxIyQ4MiQzNjE0ODEjNDEjJDEjJDgjJDgz,13:00~14:00
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxNzAyIzUxIyQxIyQxIyQ4OSQzNjE0ODEjNjEjJDEjJDAjJDgz,13시00분~14시00분
